timestamp,index,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,sm_clock_mhz
2026/08/30 00:59:51.696, 2, 22733, 1394, 100, 162.52, 1650
2026/08/30 00:59:51.708, 3, 22733, 1394, 88, 171.43, 1650
2026/08/30 00:59:52.921, 0, 22757, 1370, 100, 159.25, 1650
2026/08/30 00:59:52.933, 1, 22733, 1394, 100, 165.56, 1650
2026/08/30 00:59:52.947, 2, 22733, 1394, 59, 162.17, 1650
2026/08/30 00:59:52.964, 3, 22733, 1394, 83, 173.42, 1650
2026/08/30 00:59:54.159, 0, 22757, 1370, 100, 158.68, 1650
2026/08/30 00:59:54.176, 1, 22733, 1394, 100, 164.92, 1650
2026/08/30 00:59:54.192, 2, 22733, 1394, 100, 163.68, 1650
2026/08/30 00:59:54.207, 3, 22733, 1394, 100, 173.93, 1650
2026/08/30 00:59:55.390, 0, 22757, 1370, 100, 157.39, 1650
2026/08/30 00:59:55.406, 1, 22733, 1394, 100, 163.63, 1650
2026/08/30 00:59:55.419, 2, 22733, 1394, 100, 162.38, 1650
2026/08/30 00:59:55.431, 3, 22733, 1394, 100, 172.52, 1650
2026/08/30 00:59:56.637, 0, 22757, 1370, 100, 158.31, 1650
2026/08/30 00:59:56.651, 1, 22733, 1394, 100, 163.86, 1650
2026/08/30 00:59:56.665, 2, 22733, 1394, 100, 162.56, 1650
2026/08/30 00:59:56.679, 3, 22733, 1394, 100, 172.83, 1650
2026/08/30 00:59:57.892, 0, 22757, 1370, 65, 158.86, 1650
2026/08/30 00:59:57.906, 1, 22733, 1394, 82, 165.69, 1650
2026/08/30 00:59:57.917, 2, 22733, 1394, 85, 164.15, 1650
2026/08/30 00:59:57.931, 3, 22733, 1394, 59, 173.24, 1650
2026/08/30 00:59:59.142, 0, 22757, 1370, 100, 160.32, 1650
2026/08/30 00:59:59.156, 1, 22733, 1394, 100, 166.49, 1650
2026/08/30 00:59:59.167, 2, 22733, 1394, 100, 164.84, 1650
2026/08/30 00:59:59.180, 3, 22733, 1394, 100, 175.31, 1650
2026/08/30 01:00:00.361, 0, 22757, 1370, 100, 159.62, 1650
2026/08/30 01:00:00.376, 1, 22733, 1394, 100, 165.19, 1650
2026/08/30 01:00:00.390, 2, 22733, 1394, 100, 163.42, 1650
2026/08/30 01:00:00.402, 3, 22733, 1394, 100, 175.58, 1650
2026/08/30 01:00:01.610, 0, 22757, 1370, 100, 157.88, 1650
2026/08/30 01:00:01.624, 1, 22733, 1394, 100, 164.15, 1650
2026/08/30 01:00:01.637, 2, 22733, 1394, 100, 162.85, 1650
2026/08/30 01:00:01.650, 3, 22733, 1394, 100, 172.66, 1650
2026/08/30 01:00:02.861, 0, 22757, 1370, 100, 158.08, 1650
2026/08/30 01:00:02.877, 1, 22733, 1394, 35, 164.00, 1650
2026/08/30 01:00:02.890, 2, 22733, 1394, 39, 162.72, 1650
2026/08/30 01:00:02.907, 3, 22733, 1394, 57, 172.15, 1650
2026/08/30 01:00:04.097, 0, 22757, 1370, 100, 160.56, 1650
2026/08/30 01:00:04.111, 1, 22733, 1394, 100, 166.98, 1650
